real_name,yelp_name
Central Oakland,Oakland
North Oakland,Oakland
West Oakland,Oakland
Crawford-Roberts,The Hill District
Strip District,Strip District
Central Business District,Downtown
Spring Hill-City View,North Side
Perry South,North Side
Summer Hill,North Side
Northview Heights,North Side
Perry North,Observatory Hill
Westwood,N/A
Beltzhoover,N/A
Central Lawrenceville,Lawrenceville
Southside Flats, South Side
Allentown,Allentown
Southside Slopes, South Side Slopes
Bluff,N/A
Fineview,North Side
Hazelwood,Hazelwood
Lincoln-Lemington-Belmar,N/A
East Hills,Homewood
South Oakland,Oakland
Mount Washington,Mt. Washington
Greenfield,Greenfield
Squirrel Hill South,Squirrel Hill
Central Northside,North Side
Spring Garden,North Side
Troy Hill,Troy Hill
East Allegheny,North Side
Stanton Heights,Stanton Heights
Lower Lawrenceville,Lawrenceville
Bloomfield,Bloomfield
Carrick,Carrick
Point Breeze,Point Breeze
Duquesne Heights,Duquesne Heights
Swisshelm Park,N/A
Highland Park,Highland Park
Garfield,Garfield
Manchester,North Side
Upper Lawrenceville,Lawrenceville
Beechview,Beechview
Brookline,Brookline
Morningside,Morningside
Larimer,Larimer
North Shore,North Side
Bon Air,Bon Air
Banksville,Banksville
Windgap,Windgap
Friendship,Friendship
Arlington,Arlington
Saint Clair,N/A
Mount Oliver,Mt. Oliver
Sheraden,Sheraden
South Shore,N/A
Allegheny West,North Side
Elliot,N/A
Shadyside,Shadyside
Knoxville,Knoxville
Allegheny Center,North Side
Brighton Heights,Brighton Heights
Crafton Heights,Crafton Heights
Polish Hill,Polish Hill
Chateau,North Side
Arlington Heights,N/A
Squirrel Hill North,Squirrel Hill
Terrace Village,The Hill District
Bedford Dwellings,The Hill District
Regent Square,Regent Square
Hays,Hays
Point Breeze North,Point Breeze
Marshall-Shadeland,North Side
Lincoln Place,Lincoln
Overbrook,Overbrook
Homewood South,Homewood
Homewood North,Homewood
Homewood West,Homewood
Oakwood,N/A
East Liberty,East Liberty
East Carnegie,East Carnegie
New Homestead,Homestead
Upper Hill,The Hill District
Middle Hill,The Hill District
Esplen,N/A
Fairywood,Fairywood
Chartlers City,N/A
Ridgemont,N/A
West End,West End
California-Kirkbride,North Side
Glen Hazel,N/A
